Product,Announcement,End-of-Sale Date,End-of-Support Date
,,,
"LIC-MI-XL (1D, 1YR, 3YR, 5YR, 7YR, 10YR)","Jan 26, 2024","Jul 26, 2024","Jul 29, 2029"
"LIC-MI-L (1D, 1YR, 3YR, 5YR, 7YR, 10YR)","Jan 26, 2024","Jul 26, 2024","Jul 29, 2029"
"LIC-MI-M (1D, 1YR, 3YR, 5YR, 7YR, 10YR)","Jan 26, 2024","Jul 26, 2024","Jul 29, 2029"
"LIC-MI-S (1D, 1YR, 3YR, 5YR, 7YR, 10YR)","Jan 26, 2024","Jul 26, 2024","Jul 29, 2029"
"LIC-MI-XS (1D, 1YR, 3YR, 5YR, 7YR, 10YR)","Jan 26, 2024","Jul 26, 2024","Jul 26, 2029"
GX20-HW-EU,"Jan 22, 2024","Jun 20, 2024","Jun 20, 2026"
GX20-HW-UK,"Jan 22, 2024","Jun 20, 2024","Jun 20, 2026"
GX20-HW-US,"Jan 22, 2024","Jun 20, 2024","Jun 20, 2026"
EAB-VMX100-5Y,"Dec 12, 2023","Dec 13, 2023","Dec 22, 2027"
EAB-VMX100-3Y,"Dec 12, 2023","Dec 13, 2023","Dec 22, 2027"
E3N-VMX 100,"Dec 12, 2023","Dec 13, 2023","Dec 22, 2027"
MA-MNT-MR-11,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-10,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-9,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-8,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-7,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-6,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-5,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-4,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-3,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-2,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MA-MNT-MR-1,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
MR70,"Aug 18, 2023","Feb 19, 2024","Feb 19, 2029"
Z3C-HW-WW,"Aug 11, 2023","Feb 11, 2024","Feb 11, 2029"
GS110-8P (UK),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-8P (EU),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-8P (US),"Feb 24, 2023","Jun 1, 2023","Aug 24, 2025"
GS110-24P (UK),"Feb 24, 2023","Jun 28, 2023","Aug 24, 2025"
GS110-24P (EU),"Feb 24, 2023","Jun 28, 2023","Aug 24, 2025"
GS110-24P (US),"Feb 24, 2023","Jun 1, 2023","Aug 24, 2025"
GS110-48P (UK),"Feb 24, 2023","Mar 9, 2023","Aug 24, 2025"
GS110-48P (EU),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-48P (US),"Feb 24, 2023","Jun 1, 2023","Aug 24, 2025"
GS110-8 (UK),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-8 (EU),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-8 (US),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-48 (UK),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-48 (EU),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-48 (US),"Feb 24, 2023","Jun 1, 2023","Aug 24, 2025"
GS110-24 (UK),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-24 (EU),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
GS110-24 (US),"Feb 24, 2023","Aug 24, 2023","Aug 24, 2025"
MA-MNT-MR-H3,"Dec 19, 2022","Jun 13, 2023","Jun 13, 2028"
MA-MNT-MR-H1,"Dec 19, 2022","Jun 13, 2023","Jun 13, 2028"
MR20,"Dec 19, 2022","Jun 1, 2023","Jun 13, 2028"
GR10 (UK),"Oct 21, 2022","Apr 24, 2023","Apr 24, 2025"
GR10 (EU),"Oct 21, 2022","Apr 24, 2023","Apr 24, 2025"
GR10 (US),"Oct 21, 2022","Apr 24, 2023","Apr 24, 2025"
GR60 (UK),"Oct 21, 2022","Apr 24, 2023","Apr 24, 2025"
GR60 (EU),"Oct 21, 2022","Apr 24, 2023","Apr 24, 2025"
GR60 (US),"Oct 21, 2022","Apr 24, 2023","Apr 24, 2025"
MR42,"Jan 27, 2021","Jul 14, 2022","Jul 21, 2026"
MR33,"Jan 27, 2021","Jul 14, 2022","Jul 21, 2026"
MR30H,"Mar 25, 2022","May 31, 2022","Jul 26, 2027"
MR42E,"Apr 22, 2022","Apr 22, 2022","Jul 21, 2026"
MR55,"Feb 15, 2022","Apr 7, 2022","Aug 1, 2028"
MR53E,"Feb 15, 2022","Apr 7, 2022","Jul 21, 2026"
MR52,"Feb 15, 2022","Apr 7, 2022","Jul 21, 2026"
"MX64, MX64W","Jan 26, 2022","July 26, 2022","July 26, 2027"
"MA-INJ-4-XX (AU, CN, EU, UK, US)","Oct 29, 2021","Nov 30, 2021","Nov 30, 2022"
MS390 4x10GE Module (MA-MOD-4x10),"Aug 30, 2021","Nov 1, 2021",TBD
MX100,"Aug 10, 2021","Feb 1, 2022","Feb 1, 2027"
MX84,"Aug 10, 2021","Oct 31, 2021","Oct 31, 2026"
MA-INJ-5,"Jun 1, 2021","Jun 29, 2021",N/A
MR84,"May 3, 2021","May 7, 2021","Jul 21, 2026"
MR74,"Jan 27, 2021","Jul 21, 2021","Jul 21, 2026"
MR53,"May 3, 2021","May 7, 2021","Jul 21, 2026"
MR45,"Jan 27, 2021","Jul 21, 2021","Jul 21, 2026"
vMX100,"Sep 29, 2020","Dec 22, 2020","Dec 22, 2027"
MV21 & MV71,"Mar 19, 2019","Jun 19, 2019","Jun 19, 2026"
