0,1,2,3,4,5,6,7,8
-------------------------------------------------------------------------,,,,,,,,
NSS version,new NSPR version (optional),new CA list version (optional),NSS/NSPR API freeze & branchingBeta,NSS/NSPR Releasefrom branch,keep mozilla-centralon this NSS/NSPR branchuntil FF Beta rollover,Firefox version,Firefox release date,Release Manager
,,,,,,,,
3.97,,,2024-01-04,2024-01-11,2024-01-22,123,2024-02-20,B. Beurdouche
3.98,,,2024-03-XX,2024-02-15,2024-02-19,124,2024-03-19,Anna
3.99,,,2024-XX,2024-03-14,2024-03-18,125,2024-04-16,John
3.100,,,2024-XX,2024-04-11,2024-04-15,126,2024-05-14,B. Beurdouche
-------------------------------------------------------------------------,,,,,,,,
NSS version,new NSPR version (optional),new CA list version (optional),NSS/NSPR API freeze & branchingBeta,NSS/NSPR Releasefrom branch,keep mozilla-centralon this NSS/NSPR branchuntil FF Beta rollover,Firefox version,Firefox release date,
,,,,,,,,
3.96,,,2023-12-07,2023-12-14,2023-12-18,122,2024-01-23,
3.95,,2.64,2023-11-09,2023-11-16,2023-11-20,121,2023-12-19,
3.94,,,2023-09-14,2023-09-21,2023-09-25,119,2023-10-24,
3.93,,,2023-08-18,2023-08-23,2023-08-25,118,2023-09-26,
3.92,,2.62,2023-07-12,2023-07-19,2023-07-27,117,2023-08-29,
3.91 (ESR),,,2023-06-19,2023-06-26,2023-06-29,116,2023-07-04,
Skipped,,,,,,,,
3.90,,,2023-03-30,2023-04-06,2023-04-10,113,2023-05-09,
3.89,,,2023-03-02,2023-03-09,2023-03-13,112,2023-04-11,
3.88.1,,,,2023-02-09,,111,2023-03-14,
3.87.1,,,,2023-02-09,,110,2023-02-14,
3.79.4 (ESR),4.34.1,,,2023-02-09,,102.8,2022-02-14,
3.88,,,2023-02-02,2023-02-09,2023-02-13,111,2023-03-14,
3.87,,,2022-12-29,2023-01-05,2023-01-16,110,2023-02-14,
3.86,,2.60,2022-12-01,2022-12-08,2022-12-12,109,2023-01-17,
3.85,,,2022-11-03,2022-11-10,2022-11-14,108,2022-12-13,
3.84,4.35,,2022-10-06,2022-10-13,2022-10-17,107,2022-11-15,
3.83,4.34.1,2.58,2022-09-08,2022-09-15,2022-09-19,106,2022-10-18,
3.82,,,2022-08-11,2022-08-18,2022-08-22,105,2022-09-20,
3.79.1 (ESR),4.34.1,,,2022-08-18,,102.2,2022-08-18,
3.81,,,2022-07-14,2022-07-21,2022-07-25,104,2022-08-23,
3.80,,2.56,2022-06-16,2022-06-23,2022-06-28,103,2022-07-26,
3.79 (ESR),4.34,,2022-05-19,2022-05-26,2022-05-30,102,2022-06-28,
3.78,,,2022-04-21,2022-04-28,2022-05-02,101,2022-05-31,
3.77,,,2022-03-24,2022-03-31,2022-04-04,100,2022-05-03,
3.76,,,2022-02-24,2022-03-03,2022-03-08,99,2022-04-05,
3.75,,,2022-01-27,2022-02-03,2022-02-07,98,2022-03-08,
3.74,,2.54,2021-12-30,2022-01-06,2022-01-10,97,2022-02-08,
3.73.1,,,,2021-12-15,,96.0b6,2022-01-11,
3.72.1,,,,2021-12-15,,95.0.1,2021-12-15,
3.68.2 (ESR),,,,2021-12-15,,91.4.1,2021-12-15,
3.73,,,2021-11-25,2021-12-01,2021-12-06,96,2022-01-11,
3.68.1 (ESR),,,,2021-12-01,,91.5.0,2022-01-11,
3.72,,,2021-10-22,2021-10-28,2021-11-02,95,2021-12-07,
3.71,,2.52,2021-09-24,2021-09-30,2021-10-05,94,2021-11-02,
3.70,,,2021-08-27,2021-09-02,2021-09-07,93,2021-10-05,
3.69.1,,,2021-08-26,2021-08-26,2021-08-26,92,2021-09-07,
3.69,,,2021-07-30,2021-08-05,2021-08-10,92,2021-09-07,
3.68 (ESR),4.32,,2021-07-02,2021-07-08,2021-07-13,91,2021-08-10,
3.67,4.31,,2021-06-07,2021-06-10,,91,2021-08-10,
3.66,,2.50,2021-05-27,2021-05-27,2021-06-02,90,2021-07-13,
3.65,,,2021-05-10,2021-05-13,2021-05-17,90,2021-06-15,
3.64,,,2021-04-12,2021-04-15,2021-04-19,89,2021-05-18,
3.63.1,,,2021-04-06,2021-04-06,2021-04-06,88,2021-04-20,
3.63,4.30,2.48,2021-03-15,2021-03-18,2021-03-22,88,2021-04-20,
3.62,,,2021-02-15,2021-02-19,2021-02-22,87,2021-03-23,
3.61,,,2021-01-18,2021-01-22,2021-01-25,86,2021-02-23,
3.60,,2.46,2020-12-07,2020-12-11,2020-12-14,85,2021-01-26,
3.59.1,,,2020-11-09,2020-11-13,2020-11-16,84,2020-12-15,
3.59,,,2020-11-09,2020-11-13,2020-11-16,84,2020-12-15,
3.58,,,2020-10-12,2020-10-16,2020-10-19,83,2020-11-17,
3.57,4.29,2.44,2020-09-14,2020-09-18,2020-09-21,82,2020-10-20,
3.56,4.28,,2020-08-17,2020-08-21,2020-08-24,81,2020-09-22,
3.55,4.27,,2020-07-20,2020-07-23,2020-07-27,80,2020-08-25,
3.54,4.26,2.42,2020-06-22,2020-06-26,2020-06-29,79,2020-07-28,
3.53.1,,,2020-06-16,2020-06-16,2020-06-16,78,2020-06-30,
3.53,,,2020-05-25,2020-05-29,2020-06-01,78,2020-06-30,
3.52,,,2020-04-27,2020-04-30,2020-05-06,77,2020-06-02,
3.51.1,,,2020-03-30,2020-04-03,2020-04-08,76,2020-05-05,
3.51,,,2020-03-02,2020-03-06,2020-03-10,75,2020-04-07,
