0,1,2
Software version or branch,End of Software Development,End of Technical Support
17.0.x,"July 31, 2023","July 31, 2023"
16.0.x,"October 7, 2021","October 7, 2021"
15.0.x,"August 23, 2020","August 23, 2020"
14.1.x,"December 31, 2023","December 31, 2023"
14.1.2.4.x,"May 11, 2020","May 11, 2020"
14.0.x,"November 9, 2019","November 9, 2019"
13.1.x,"December 31, 2022","December 31, 2023"
13.0.x,"May 22, 2018","May 22, 2019"
12.0.0.x,"December 2, 2016","December 2, 2017"
12.1.x,"May 18, 2021","May 18, 2022"
11.6.x,"May 10, 2021","May 10, 2022"
11.6.0.x,"August 25, 2016","August 25, 2017"
11.5.10.x,"April 8, 2019","April 8, 2020"
11.5.9.x,"April 8, 2019","April 8, 2020"
11.5.8.x,"April 8, 2019","April 8, 2020"
11.5.7.x,"April 8, 2019","April 8, 2020"
11.5.6.x,"April 8, 2019","April 8, 2020"
11.5.5.x,"April 8, 2019","April 8, 2020"
11.5.4.x,"April 8, 2019","April 8, 2020"
11.5.3.x,"April 8, 2019","April 8, 2020"
11.5.2.x,"April 8, 2019","April 8, 2020"
11.5.1.x,"April 8, 2018","April 8, 2019"
11.5.0.x,"January 31, 2016","January 31, 2017"
11.4.1.x,"September 17, 2016","September 17, 2017"
11.4.0.x,"June 11, 2015","June 11, 2016"
11.3.0.x,"December 17, 2014","December 17, 2015"
11.2.1.x,"December 31, 2017","December 31, 2018"
11.2.0.x,"June 11, 2014","June 11, 2015"
11.1.0.x,"November 28, 2013","November 28, 2014"
11.0.0.x,"August 24, 2013","August 24, 2014"
10.2.4.x,"December 31, 2015","December 31, 2016"
10.2.3.x,"December 31, 2015","December 31, 2016"
10.2.2.x,"December 31, 2015","December 31, 2016"
10.2.1.x,"December 31, 2015","December 31, 2016"
10.2.0.x,"December 31, 2012","December 31, 2013"
10.1.0.x,"March 1, 2015","March 1, 2016"
10.0.1.x,"August 31, 2012","August 31, 2013"
10.0.0.x,"March 12, 2011","March 12, 2012"
9.4.8.x,"August 31, 2012","August 31, 2013"
9.4.7.x,"December 31, 2011","December 31, 2012"
9.4.6.x,"December 31, 2011","December 31, 2012"
9.6.x,"March 31, 2011","March 31, 2012"
9.4.5.x,"March 31, 2011","March 31, 2012"
9.3.x,"March 31, 2011","March 31, 2012"
9.2.x,"July 31, 2007","July 31, 2008"
9.1.x,"April 30, 2008","April 30, 2009"
9.0.x,"May 18, 2006","May 18, 2007"
4.6.0.x,"December 31, 2008","December 31, 2009"
4.5.0.x,"December 31, 2008","December 31, 2009"
4.2.0.x,"June 30, 2005","June 30, 2006"
